T,I,O
817,0.98089,0.9955
818,0.98089,0.9955
819,0.98089,0.9955
820,0.98089,0.9955
821,0.98089,0.9955
822,0.98089,0.9955
823,0.98089,0.9955
824,0.98089,0.9955
825,0.98089,0.9955
826,0.98089,0.9955
827,0.98089,0.9955
828,0.98089,0.9955
829,0.98089,0.99437
830,0.98089,0.99324
831,0.98089,0.99437
832,0.98089,0.9955
833,0.98089,0.9955
834,0.98089,0.9955
835,0.98089,0.9966250000000001
836,0.98089,0.99775
837,0.98089,0.9966250000000001
838,0.98089,0.9955
839,0.98089,0.9955
840,0.98089,0.9955
841,0.98089,0.9955
842,0.98089,0.9955
843,0.98089,0.9966250000000001
844,0.98089,0.99775
845,0.98089,0.9966250000000001
846,0.98089,0.9955
847,0.98089,0.9955
848,0.98089,0.9955
849,0.98089,0.9955
850,0.98089,0.9955
851,0.98089,0.9955
852,0.98089,0.9955
853,0.98089,0.9966250000000001
854,0.98089,0.99775
855,0.98089,0.9966250000000001
856,0.98089,0.9955
857,0.98089,0.9955
858,0.98089,0.9955
859,0.98089,0.9955
860,0.98089,0.9955
861,0.98089,0.9955
862,0.98089,0.9955
863,0.98089,0.9966250000000001
864,0.98089,0.99775
865,0.98089,0.99775
866,0.98089,0.99775
867,0.98089,0.99775
868,0.98089,0.99775
869,0.98089,0.99775
870,0.98089,0.99775
871,0.98089,0.9966250000000001
872,0.98089,0.9955
873,0.98089,0.9955
874,0.98089,0.9955
875,0.98089,0.9955
876,0.98089,0.9955
877,0.98089,0.9955
878,0.98089,0.9955
879,0.98089,0.9966250000000001
880,0.98089,0.99775
881,0.98089,0.99775
882,0.98089,0.99775
883,0.98089,0.9966250000000001
884,0.98089,0.9955
885,0.98089,0.9966250000000001
886,0.98089,0.99775
887,0.98089,0.9966250000000001
888,0.98089,0.9955
889,0.98089,0.9955
890,0.98089,0.9955
891,0.98089,0.99775
892,0.98089,1.0
893,0.98089,0.998875
894,0.98089,0.99775
895,0.98089,0.99775
896,0.98089,0.99775
897,0.98089,0.99775
898,0.98089,0.99775
899,0.98089,0.99775
900,0.98089,0.99775
901,0.98089,0.99775
902,0.98089,0.99775
903,0.98089,0.99775
904,0.98089,0.99775
905,0.98089,0.99775
906,0.98089,0.99775
907,0.98089,0.99775
908,0.98089,0.99775
909,0.98089,0.99775
910,0.98089,0.99775
911,0.98089,0.99775
912,0.98089,0.99775
913,0.98089,0.99775
914,0.98089,0.99775
915,0.98089,0.99775
916,0.98089,0.99775
917,0.98089,0.99775
918,0.98089,0.99775
919,0.98089,0.99775
920,0.98089,0.99775
921,0.98089,0.99775
922,0.98089,0.99775
923,0.98089,0.99775
924,0.98089,0.99775
925,0.98089,0.99775
926,0.98089,0.99775
